gender,agegroup,crude,province,year
F,75+,17.4,brussels,2008
T,T,13.8,brussels,2008
M,15-28,0,Brabant Wallon,2008
M,25-38,0,Brabant Wallon,2008
M,35-48,5.2,Brabant Wallon,2008
M,45-58,0,Brabant Wallon,2008
M,55-68,6,Brabant Wallon,2008
M,65-78,12.8,Brabant Wallon,2008
M,75+,27.4,Brabant Wallon,2008
M,T,5.9,Brabant Wallon,2008
F,15-28,0,Brabant Wallon,2008
F,25-38,0,Brabant Wallon,2008
F,35-48,10,Brabant Wallon,2008
F,45-58,9.9,Brabant Wallon,2008
F,55-68,17.2,Brabant Wallon,2008
F,65-78,20.9,Brabant Wallon,2008
F,75+,26.1,Brabant Wallon,2008
F,T,11.7,Brabant Wallon,2008
T,T,9.2,Brabant Wallon,2008
M,15-28,5.5,hainout,2008
M,25-38,4.4,hainout,2008
M,35-48,3.9,hainout,2008
M,45-58,15,hainout,2008
M,55-68,6.8,hainout,2008
M,65-78,12.2,hainout,2008
M,75+,10.4,hainout,2008
M,T,8.1,hainout,2008
T,15-28,6.8,hainout,2008
F,25-38,15.9,hainout,2008
F,35-48,16.4,hainout,2008
F,45-58,16.4,hainout,2008
F,55-68,12.3,hainout,2008
F,65-78,25.8,hainout,2008
F,75+,29.4,hainout,2008
F,T,16.8,hainout,2008
F,T,12.7,hainout,2008
M,15-29,3.5,Liege,2008
M,25-39,12.6,Liege,2008
M,35-49,5.3,Liege,2008
M,45-59,10.6,Liege,2008
M,55-69,10.8,Liege,2008
M,65-79,1.8,Liege,2008
M,75+,7.5,Liege,2008
M,T,8,Liege,2008
F,T,12.4,Liege,2008
F,15-29,6.5,Liege,2008
F,25-39,7.9,Liege,2008
F,35-49,15.9,Liege,2008
F,45-59,19.1,Liege,2008
F,55-69,13.5,Liege,2008
F,65-79,21.6,Liege,2008
F,75+,13.3,Liege,2008
T,T,10.9,Liege,2008
M,15-29,0.9,luxembourg,2008
M,25-39,5.7,luxembourg,2008
M,35-49,0,luxembourg,2008
M,45-59,18.5,luxembourg,2008
M,55-69,11.2,luxembourg,2008
M,65-79,0,luxembourg,2008
M,75+,0,luxembourg,2008
M,T,5.9,luxembourg,2008
F,T,0.7,luxembourg,2008
F,15-29,11.6,luxembourg,2008
F,25-39,2.2,luxembourg,2008
F,35-49,16.4,luxembourg,2008
F,45-59,29.1,luxembourg,2008
F,55-69,0,luxembourg,2008
F,65-79,7.3,luxembourg,2008
F,75+,9.1,luxembourg,2008
T,T,7.5,luxembourg,2008
M,15-29,0,namur,2008
M,25-39,0,namur,2008
M,35-49,7.4,namur,2008
M,45-59,13.2,namur,2008
M,55-69,6.9,namur,2008
M,65-79,0,namur,2008
M,75+,8.8,namur,2008
M,T,5.7,namur,2008
T,15-29,5.3,namur,2008
F,25-39,15.1,namur,2008
F,35-49,13.9,namur,2008
F,45-59,16.4,namur,2008
F,55-69,7,namur,2008
F,65-79,6.7,namur,2008
F,75+,13.7,namur,2008
F,T,11.6,namur,2008
F,T,8.9,namur,2008
M,15-29,4.3,antwerp,2004
M,25-39,7.8,antwerp,2004
M,35-49,9.7,antwerp,2004
M,45-59,6.3,antwerp,2004
M,55-69,1.7,antwerp,2004
M,65-79,5.2,antwerp,2004
M,75+,10.2,antwerp,2004
M,T,6.4,antwerp,2004
F,15-29,0.7,antwerp,2004
F,25-39,6.7,antwerp,2004
F,35-49,8.4,antwerp,2004
F,45-59,14.9,antwerp,2004
F,55-69,9.6,antwerp,2004
F,65-79,7.8,antwerp,2004
F,75+,14,antwerp,2004
F,T,8.9,antwerp,2004
T,T,7.7,antwerp,2004
M,15-30,0,vlaams brabant,2004
M,25-40,2.3,vlaams brabant,2004
M,35-50,5.5,vlaams brabant,2004
M,45-60,6,vlaams brabant,2004
M,55-70,5.3,vlaams brabant,2004
M,65-80,10.1,vlaams brabant,2004
M,75+,1,vlaams brabant,2004
M,T,4.8,vlaams brabant,2004
F,T,20.7,vlaams brabant,2004
F,15-30,10.3,vlaams brabant,2004
F,25-40,10.1,vlaams brabant,2004
F,35-50,8.9,vlaams brabant,2004
F,45-60,4.6,vlaams brabant,2004
F,55-70,5.6,vlaams brabant,2004
F,65-80,15.3,vlaams brabant,2004
F,75+,10.1,vlaams brabant,2004
T,T,7.6,vlaams brabant,2004
M,15-30,0,west-vlaanderen,2004
M,25-40,2.6,west-vlaanderen,2004
M,35-50,1.1,west-vlaanderen,2004
M,45-60,4.3,west-vlaanderen,2004
M,55-70,7.9,west-vlaanderen,2004
M,65-80,9.5,west-vlaanderen,2004
M,75+,9.2,west-vlaanderen,2004
M,T,4.2,west-vlaanderen,2004
T,T,5.3,west-vlaanderen,2004
F,15-30,5.8,west-vlaanderen,2004
F,25-40,4.8,west-vlaanderen,2004
F,35-50,6.8,west-vlaanderen,2004
F,45-60,2.9,west-vlaanderen,2004
F,55-70,10.9,west-vlaanderen,2004
F,65-80,4.7,west-vlaanderen,2004
F,75+,5.8,west-vlaanderen,2004
F,T,5.1,west-vlaanderen,2004
M,15-30,9.3,oost-vlaanderen,2004
M,25-40,0,oost-vlaanderen,2004
