name, year, amount, age, gender
Bruxelles,2017,15368,9,T
Antwerpen,2017,10444,9,F
Antwerpen,2017,10661,9,M
Antwerpen,2017,21105,9,T
Limburg,2017,4647,9,F
Limburg,2017,4770,9,M
Limburg,2017,9417,9,T
Oost_Vlaanderen,2017,8201,9,F
Oost_Vlaanderen,2017,8599,9,M
Oost_Vlaanderen,2017,16800,9,T
Vlaams_Brabant,2017,6656,9,F
Vlaams_Brabant,2017,6813,9,M
Vlaams_Brabant,2017,13469,9,T
West_Vlaanderen,2017,5905,9,F
West_Vlaanderen,2017,6362,9,M
West_Vlaanderen,2017,12267,9,T
Brabant_Wallon,2017,2349,9,F
Brabant_Wallon,2017,2506,9,M
Brabant_Wallon,2017,4855,9,T
Hainaut,2017,7949,9,F
Hainaut,2017,8348,9,M
Hainaut,2017,16297,9,T
Liege,2017,6113,9,F
Liege,2017,6496,9,M
Liege,2017,12609,9,T
Luxembourg,2017,1773,9,F
Luxembourg,2017,1865,9,M
Luxembourg,2017,3638,9,T
Namur,2017,2865,9,F
Namur,2017,3024,9,M
Namur,2017,5889,9,T
Bruxelles,2017,7264,10,F
Bruxelles,2017,7607,10,M
Bruxelles,2017,14871,10,T
Antwerpen,2017,10112,10,F
Antwerpen,2017,10492,10,M
Antwerpen,2017,20604,10,T
Limburg,2017,4525,10,F
Limburg,2017,4591,10,M
Limburg,2017,9116,10,T
Oost_Vlaanderen,2017,8266,10,F
Oost_Vlaanderen,2017,8653,10,M
Oost_Vlaanderen,2017,16919,10,T
Vlaams_Brabant,2017,6600,10,F
Vlaams_Brabant,2017,6971,10,M
Vlaams_Brabant,2017,13571,10,T
West_Vlaanderen,2017,5889,10,F
West_Vlaanderen,2017,6252,10,M
West_Vlaanderen,2017,12141,10,T
Brabant_Wallon,2017,2432,10,F
Brabant_Wallon,2017,2540,10,M
Brabant_Wallon,2017,4972,10,T
Hainaut,2017,7944,10,F
Hainaut,2017,8268,10,M
Hainaut,2017,16212,10,T
Liege,2017,6403,10,F
Liege,2017,6463,10,M
Liege,2017,12866,10,T
Luxembourg,2017,1793,10,F
Luxembourg,2017,1855,10,M
Luxembourg,2017,3648,10,T
Namur,2017,2880,10,F
Namur,2017,3013,10,M
Namur,2017,5893,10,T
Bruxelles,2017,7044,11,F
Bruxelles,2017,7284,11,M
Bruxelles,2017,14328,11,T
Antwerpen,2017,9865,11,F
Antwerpen,2017,10339,11,M
Antwerpen,2017,20204,11,T
Limburg,2017,4297,11,F
Limburg,2017,4613,11,M
Limburg,2017,8910,11,T
Oost_Vlaanderen,2017,7850,11,F
Oost_Vlaanderen,2017,8459,11,M
Oost_Vlaanderen,2017,16309,11,T
Vlaams_Brabant,2017,6434,11,F
Vlaams_Brabant,2017,6810,11,M
Vlaams_Brabant,2017,13244,11,T
West_Vlaanderen,2017,5841,11,F
West_Vlaanderen,2017,6120,11,M
West_Vlaanderen,2017,11961,11,T
Brabant_Wallon,2017,2369,11,F
Brabant_Wallon,2017,2550,11,M
Brabant_Wallon,2017,4919,11,T
Hainaut,2017,7733,11,F
Hainaut,2017,8225,11,M
Hainaut,2017,15958,11,T
Liege,2017,6198,11,F
Liege,2017,6386,11,M
Liege,2017,12584,11,T
Luxembourg,2017,1783,11,F
Luxembourg,2017,1831,11,M
Luxembourg,2017,3614,11,T
Namur,2017,2838,11,F
Namur,2017,2918,11,M
Namur,2017,5756,11,T
Bruxelles,2017,6775,12,F
Bruxelles,2017,7114,12,M
Bruxelles,2017,13889,12,T
Antwerpen,2017,9506,12,F
Antwerpen,2017,10195,12,M
Antwerpen,2017,19701,12,T
Limburg,2017,4305,12,F
Limburg,2017,4611,12,M
Limburg,2017,8916,12,T
Oost_Vlaanderen,2017,8018,12,F
Oost_Vlaanderen,2017,8211,12,M
Oost_Vlaanderen,2017,16229,12,T
Vlaams_Brabant,2017,6286,12,F
Vlaams_Brabant,2017,6737,12,M
Vlaams_Brabant,2017,13023,12,T
West_Vlaanderen,2017,5723,12,F
West_Vlaanderen,2017,5929,12,M
West_Vlaanderen,2017,11652,12,T
Brabant_Wallon,2017,2364,12,F
Brabant_Wallon,2017,2514,12,M
Brabant_Wallon,2017,4878,12,T
Hainaut,2017,7770,12,F
Hainaut,2017,8128,12,M
Hainaut,2017,15898,12,T
Liege,2017,6061,12,F
Liege,2017,6310,12,M
Liege,2017,12371,12,T
Luxembourg,2017,1773,12,F
Luxembourg,2017,1891,12,M
Luxembourg,2017,3664,12,T
Namur,2017,2852,12,F
Namur,2017,2976,12,M
Namur,2017,5828,12,T
Bruxelles,2017,6514,13,F
Bruxelles,2017,6856,13,M
Bruxelles,2017,13370,13,T
Antwerpen,2017,9421,13,F
Antwerpen,2017,9889,13,M
Antwerpen,2017,19310,13,T
Limburg,2017,4060,13,F
Limburg,2017,4465,13,M
Limburg,2017,8525,13,T
Oost_Vlaanderen,2017,7555,13,F
Oost_Vlaanderen,2017,7771,13,M
Oost_Vlaanderen,2017,15326,13,T
Vlaams_Brabant,2017,6247,13,F
Vlaams_Brabant,2017,6537,13,M
Vlaams_Brabant,2017,12784,13,T
West_Vlaanderen,2017,5558,13,F
West_Vlaanderen,2017,5777,13,M
West_Vlaanderen,2017,11335,13,T
Brabant_Wallon,2017,2355,13,F
Brabant_Wallon,2017,2461,13,M
Brabant_Wallon,2017,4816,13,T
Hainaut,2017,7702,13,F
Hainaut,2017,8028,13,M
Hainaut,2017,15730,13,T
Liege,2017,6158,13,F
Liege,2017,6301,13,M
Liege,2017,12459,13,T
Luxembourg,2017,1717,13,F
Luxembourg,2017,1830,13,M
Luxembourg,2017,3547,13,T
Namur,2017,2838,13,F
Namur,2017,2914,13,M
Namur,2017,5752,13,T
Bruxelles,2017,6350,14,F
Bruxelles,2017,6451,14,M
Bruxelles,2017,12801,14,T
Antwerpen,2017,9158,14,F
Antwerpen,2017,9799,14,M
Antwerpen,2017,18957,14,T
Limburg,2017,4214,14,F
Limburg,2017,4477,14,M
Limburg,2017,8691,14,T
Oost_Vlaanderen,2017,7459,14,F
Oost_Vlaanderen,2017,7692,14,M
Oost_Vlaanderen,2017,15151,14,T
Vlaams_Brabant,2017,6139,14,F
Vlaams_Brabant,2017,6522,14,M
Vlaams_Brabant,2017,12661,14,T
West_Vlaanderen,2017,5663,14,F
West_Vlaanderen,2017,5886,14,M
West_Vlaanderen,2017,11549,14,T
Brabant_Wallon,2017,2301,14,F
Brabant_Wallon,2017,2564,14,M
Brabant_Wallon,2017,4865,14,T
Hainaut,2017,7671,14,F
Hainaut,2017,8067,14,M
Hainaut,2017,15738,14,T
Liege,2017,5994,14,F
Liege,2017,6430,14,M
Liege,2017,12424,14,T
Luxembourg,2017,1766,14,F
Luxembourg,2017,1838,14,M
Luxembourg,2017,3604,14,T
Namur,2017,2842,14,F
Namur,2017,2811,14,M
Namur,2017,5653,14,T
Bruxelles,2017,6307,15,F
Bruxelles,2017,6573,15,M
Bruxelles,2017,12880,15,T
Antwerpen,2017,9233,15,F
Antwerpen,2017,9686,15,M
Antwerpen,2017,18919,15,T
Limburg,2017,4262,15,F
Limburg,2017,4592,15,M
Limburg,2017,8854,15,T
Oost_Vlaanderen,2017,7491,15,F
Oost_Vlaanderen,2017,7957,15,M
Oost_Vlaanderen,2017,15448,15,T
Vlaams_Brabant,2017,6293,15,F
Vlaams_Brabant,2017,6375,15,M
Vlaams_Brabant,2017,12668,15,T
West_Vlaanderen,2017,5752,15,F
West_Vlaanderen,2017,5988,15,M
West_Vlaanderen,2017,11740,15,T
Brabant_Wallon,2017,2552,15,F
Brabant_Wallon,2017,2541,15,M
Brabant_Wallon,2017,5093,15,T
Hainaut,2017,7897,15,F
Hainaut,2017,8406,15,M
Hainaut,2017,16303,15,T
Liege,2017,6339,15,F
Liege,2017,6567,15,M
Liege,2017,12906,15,T
Luxembourg,2017,1750,15,F
Luxembourg,2017,1876,15,M
Luxembourg,2017,3626,15,T
Namur,2017,2856,15,F
Namur,2017,2990,15,M
Namur,2017,5846,15,T
Bruxelles,2017,6208,16,F
Bruxelles,2017,6702,16,M
Bruxelles,2017,12910,16,T
Antwerpen,2017,9518,16,F
Antwerpen,2017,10066,16,M
Antwerpen,2017,19584,16,T
Limburg,2017,4336,16,F
Limburg,2017,4673,16,M
Limburg,2017,9009,16,T
Oost_Vlaanderen,2017,7716,16,F
Oost_Vlaanderen,2017,8201,16,M
Oost_Vlaanderen,2017,15917,16,T
Vlaams_Brabant,2017,6357,16,F
Vlaams_Brabant,2017,6479,16,M
Vlaams_Brabant,2017,12836,16,T
West_Vlaanderen,2017,5942,16,F
West_Vlaanderen,2017,6211,16,M
West_Vlaanderen,2017,12153,16,T
Brabant_Wallon,2017,2461,16,F
Brabant_Wallon,2017,2569,16,M
Brabant_Wallon,2017,5030,16,T
Hainaut,2017,7964,16,F
Hainaut,2017,8455,16,M
Hainaut,2017,16419,16,T
Liege,2017,6259,16,F
Liege,2017,6696,16,M
Liege,2017,12955,16,T
Luxembourg,2017,1885,16,F
Luxembourg,2017,2016,16,M
Luxembourg,2017,3901,16,T
Namur,2017,2987,16,F
Namur,2017,3199,16,M
Namur,2017,6186,16,T
Bruxelles,2017,6252,17,F
Bruxelles,2017,6641,17,M
Bruxelles,2017,12893,17,T
Antwerpen,2017,9539,17,F
Antwerpen,2017,10116,17,M
Antwerpen,2017,19655,17,T
Limburg,2017,4418,17,F
Limburg,2017,4651,17,M
Limburg,2017,9069,17,T
Oost_Vlaanderen,2017,7768,17,F
Oost_Vlaanderen,2017,8020,17,M
Oost_Vlaanderen,2017,15788,17,T
Vlaams_Brabant,2017,6309,17,F
Vlaams_Brabant,2017,6444,17,M
Vlaams_Brabant,2017,12753,17,T
West_Vlaanderen,2017,5855,17,F
West_Vlaanderen,2017,6211,17,M
West_Vlaanderen,2017,12066,17,T
Brabant_Wallon,2017,2466,17,F
Brabant_Wallon,2017,2553,17,M
Brabant_Wallon,2017,5019,17,T
Hainaut,2017,7890,17,F
Hainaut,2017,8108,17,M
Hainaut,2017,15998,17,T
Liege,2017,6164,17,F
Liege,2017,6702,17,M
Liege,2017,12866,17,T
Luxembourg,2017,1653,17,F
Luxembourg,2017,1963,17,M
Luxembourg,2017,3616,17,T
Namur,2017,2829,17,F
Namur,2017,3153,17,M
Namur,2017,5982,17,T
Bruxelles,2017,6209,18,F
Bruxelles,2017,6416,18,M
Bruxelles,2017,12625,18,T
Antwerpen,2017,9710,18,F
Antwerpen,2017,10259,18,M
Antwerpen,2017,19969,18,T
Limburg,2017,4458,18,F
Limburg,2017,4599,18,M
Limburg,2017,9057,18,T
Oost_Vlaanderen,2017,7747,18,F
Oost_Vlaanderen,2017,8246,18,M
Oost_Vlaanderen,2017,15993,18,T
Vlaams_Brabant,2017,6165,18,F
Vlaams_Brabant,2017,6706,18,M
Vlaams_Brabant,2017,12871,18,T
West_Vlaanderen,2017,6172,18,F
West_Vlaanderen,2017,6454,18,M
West_Vlaanderen,2017,12626,18,T
Brabant_Wallon,2017,2397,18,F
Brabant_Wallon,2017,2549,18,M
Brabant_Wallon,2017,4946,18,T
Hainaut,2017,7804,18,F
Hainaut,2017,8152,18,M
Hainaut,2017,15956,18,T
Liege,2017,6240,18,F
Liege,2017,6612,18,M
Liege,2017,12852,18,T
Luxembourg,2017,1753,18,F
